"Store","Date","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","IsHoliday","Weekly_Sales","Type","Size","Holiday_Flag"
1,2010-02-05,42.31,2.572,0,0,0,0,0,211.0963582,8.106,FALSE,1643690.9,"A",151315,0
1,2010-02-12,38.51,2.548,0,0,0,0,0,211.2421698,8.106,TRUE,1641957.44,"A",151315,1
1,2010-02-19,39.93,2.514,0,0,0,0,0,211.2891429,8.106,FALSE,1611968.17,"A",151315,0
1,2010-02-26,46.63,2.561,0,0,0,0,0,211.3196429,8.106,FALSE,1409727.59,"A",151315,0
1,2010-03-05,46.5,2.625,0,0,0,0,0,211.3501429,8.106,FALSE,1554806.68,"A",151315,0
1,2010-03-12,57.79,2.667,0,0,0,0,0,211.3806429,8.106,FALSE,1439541.59,"A",151315,0
1,2010-03-19,54.58,2.72,0,0,0,0,0,211.215635,8.106,FALSE,1472515.79,"A",151315,0
1,2010-03-26,51.45,2.732,0,0,0,0,0,211.0180424,8.106,FALSE,1404429.92,"A",151315,0
1,2010-04-02,62.27,2.719,0,0,0,0,0,210.8204499,7.808,FALSE,1594968.28,"A",151315,0
1,2010-04-09,65.86,2.77,0,0,0,0,0,210.6228574,7.808,FALSE,1545418.53,"A",151315,0
1,2010-04-16,66.32,2.808,0,0,0,0,0,210.4887,7.808,FALSE,1466058.28,"A",151315,0
1,2010-04-23,64.84,2.795,0,0,0,0,0,210.4391228,7.808,FALSE,1391256.12,"A",151315,0
1,2010-04-30,67.41,2.78,0,0,0,0,0,210.3895456,7.808,FALSE,1425100.71,"A",151315,0
1,2010-05-07,72.55,2.835,0,0,0,0,0,210.3399684,7.808,FALSE,1603955.12,"A",151315,0
1,2010-05-14,74.78,2.854,0,0,0,0,0,210.3374261,7.808,FALSE,1494251.5,"A",151315,0
1,2010-05-21,76.44,2.826,0,0,0,0,0,210.6170934,7.808,FALSE,1399662.07,"A",151315,0
1,2010-05-28,80.44,2.759,0,0,0,0,0,210.8967606,7.808,FALSE,1432069.95,"A",151315,0
1,2010-06-04,80.69,2.705,0,0,0,0,0,211.1764278,7.808,FALSE,1615524.71,"A",151315,0
1,2010-06-11,80.43,2.668,0,0,0,0,0,211.4560951,7.808,FALSE,1542561.09,"A",151315,0
1,2010-06-18,84.11,2.637,0,0,0,0,0,211.4537719,7.808,FALSE,1503284.06,"A",151315,0
1,2010-06-25,84.34,2.653,0,0,0,0,0,211.3386526,7.808,FALSE,1422711.6,"A",151315,0
1,2010-07-02,80.91,2.669,0,0,0,0,0,211.2235333,7.787,FALSE,1492418.14,"A",151315,0
1,2010-07-09,80.48,2.642,0,0,0,0,0,211.108414,7.787,FALSE,1546074.18,"A",151315,0
1,2010-07-16,83.15,2.623,0,0,0,0,0,211.1003854,7.787,FALSE,1448938.92,"A",151315,0
1,2010-07-23,83.36,2.608,0,0,0,0,0,211.2351443,7.787,FALSE,1385065.2,"A",151315,0
1,2010-07-30,81.84,2.64,0,0,0,0,0,211.3699032,7.787,FALSE,1371986.6,"A",151315,0
1,2010-08-06,87.16,2.627,0,0,0,0,0,211.5046621,7.787,FALSE,1605491.78,"A",151315,0
1,2010-08-13,87,2.692,0,0,0,0,0,211.6394211,7.787,FALSE,1508237.76,"A",151315,0
1,2010-08-20,86.65,2.664,0,0,0,0,0,211.6033633,7.787,FALSE,1513080.49,"A",151315,0
1,2010-08-27,85.22,2.619,0,0,0,0,0,211.5673056,7.787,FALSE,1449142.92,"A",151315,0
1,2010-09-03,81.21,2.577,0,0,0,0,0,211.5312479,7.787,FALSE,1540163.53,"A",151315,0
1,2010-09-10,78.69,2.565,0,0,0,0,0,211.4951902,7.787,TRUE,1507460.69,"A",151315,1
1,2010-09-17,82.11,2.582,0,0,0,0,0,211.5224596,7.787,FALSE,1430378.67,"A",151315,0
1,2010-09-24,80.94,2.624,0,0,0,0,0,211.5972246,7.787,FALSE,1351791.03,"A",151315,0
1,2010-10-01,71.89,2.603,0,0,0,0,0,211.6719895,7.838,FALSE,1453329.5,"A",151315,0
1,2010-10-08,63.93,2.633,0,0,0,0,0,211.7467544,7.838,FALSE,1508239.93,"A",151315,0
1,2010-10-15,67.18,2.72,0,0,0,0,0,211.8137436,7.838,FALSE,1459409.1,"A",151315,0
1,2010-10-22,69.86,2.725,0,0,0,0,0,211.8612937,7.838,FALSE,1345454,"A",151315,0
1,2010-10-29,69.64,2.716,0,0,0,0,0,211.9088438,7.838,FALSE,1384209.22,"A",151315,0
1,2010-11-05,58.74,2.689,0,0,0,0,0,211.9563939,7.838,FALSE,1551659.28,"A",151315,0
1,2010-11-12,59.61,2.728,0,0,0,0,0,212.003944,7.838,FALSE,1494479.49,"A",151315,0
1,2010-11-19,51.41,2.771,0,0,0,0,0,211.8896737,7.838,FALSE,1483784.18,"A",151315,0
1,2010-11-26,64.52,2.735,0,0,0,0,0,211.7484333,7.838,TRUE,1955624.11,"A",151315,1
1,2010-12-03,49.27,2.708,0,0,0,0,0,211.607193,7.838,FALSE,1548033.78,"A",151315,0
1,2010-12-10,46.33,2.843,0,0,0,0,0,211.4659526,7.838,FALSE,1682614.26,"A",151315,0
1,2010-12-17,49.84,2.869,0,0,0,0,0,211.4053124,7.838,FALSE,1891034.93,"A",151315,0
1,2010-12-24,52.33,2.886,0,0,0,0,0,211.4051222,7.838,FALSE,2387950.2,"A",151315,0
1,2010-12-31,48.43,2.943,0,0,0,0,0,211.4049321,7.838,TRUE,1367320.01,"A",151315,1
1,2011-01-07,48.27,2.976,0,0,0,0,0,211.4047419,7.742,FALSE,1444732.28,"A",151315,0
1,2011-01-14,35.4,2.983,0,0,0,0,0,211.4574109,7.742,FALSE,1391013.96,"A",151315,0
1,2011-01-21,44.04,3.016,0,0,0,0,0,211.8272343,7.742,FALSE,1327405.42,"A",151315,0
1,2011-01-28,43.83,3.01,0,0,0,0,0,212.1970577,7.742,FALSE,1316899.31,"A",151315,0
1,2011-02-04,42.27,2.989,0,0,0,0,0,212.5668812,7.742,FALSE,1606629.58,"A",151315,0
1,2011-02-11,36.39,3.022,0,0,0,0,0,212.9367046,7.742,TRUE,1649614.93,"A",151315,1
1,2011-02-18,57.36,3.045,0,0,0,0,0,213.2478853,7.742,FALSE,1686842.78,"A",151315,0
1,2011-02-25,62.9,3.065,0,0,0,0,0,213.535609,7.742,FALSE,1456800.28,"A",151315,0
1,2011-03-04,59.58,3.288,0,0,0,0,0,213.8233327,7.742,FALSE,1636263.41,"A",151315,0
1,2011-03-11,53.56,3.459,0,0,0,0,0,214.1110564,7.742,FALSE,1553191.63,"A",151315,0
1,2011-03-18,62.76,3.488,0,0,0,0,0,214.3627114,7.742,FALSE,1576818.06,"A",151315,0
1,2011-03-25,69.97,3.473,0,0,0,0,0,214.5999389,7.742,FALSE,1541102.38,"A",151315,0
1,2011-04-01,59.17,3.524,0,0,0,0,0,214.8371664,7.682,FALSE,1495064.75,"A",151315,0
1,2011-04-08,67.84,3.622,0,0,0,0,0,215.0743939,7.682,FALSE,1614259.35,"A",151315,0
1,2011-04-15,71.27,3.743,0,0,0,0,0,215.2918561,7.682,FALSE,1559889,"A",151315,0
1,2011-04-22,72.99,3.807,0,0,0,0,0,215.4599053,7.682,FALSE,1564819.81,"A",151315,0
1,2011-04-29,72.03,3.81,0,0,0,0,0,215.6279544,7.682,FALSE,1455090.69,"A",151315,0
1,2011-05-06,64.61,3.906,0,0,0,0,0,215.7960035,7.682,FALSE,1629391.28,"A",151315,0
1,2011-05-13,75.64,3.899,0,0,0,0,0,215.9640526,7.682,FALSE,1604775.58,"A",151315,0
1,2011-05-20,67.63,3.907,0,0,0,0,0,215.7339202,7.682,FALSE,1428218.27,"A",151315,0
1,2011-05-27,77.72,3.786,0,0,0,0,0,215.5037878,7.682,FALSE,1466046.67,"A",151315,0
1,2011-06-03,83,3.699,0,0,0,0,0,215.2736553,7.682,FALSE,1635078.41,"A",151315,0
1,2011-06-10,83.13,3.648,0,0,0,0,0,215.0435229,7.682,FALSE,1588948.32,"A",151315,0
1,2011-06-17,86.41,3.637,0,0,0,0,0,214.9980596,7.682,FALSE,1532114.86,"A",151315,0
1,2011-06-24,83.58,3.594,0,0,0,0,0,215.0910982,7.682,FALSE,1438830.15,"A",151315,0
1,2011-07-01,85.55,3.524,0,0,0,0,0,215.1841368,7.962,FALSE,1488538.09,"A",151315,0
1,2011-07-08,85.83,3.48,0,0,0,0,0,215.2771754,7.962,FALSE,1534849.64,"A",151315,0
1,2011-07-15,88.54,3.575,0,0,0,0,0,215.3611087,7.962,FALSE,1455119.97,"A",151315,0
1,2011-07-22,85.77,3.651,0,0,0,0,0,215.4222784,7.962,FALSE,1396926.82,"A",151315,0
1,2011-07-29,86.83,3.682,0,0,0,0,0,215.4834482,7.962,FALSE,1352219.79,"A",151315,0
1,2011-08-05,91.65,3.684,0,0,0,0,0,215.544618,7.962,FALSE,1624383.75,"A",151315,0
1,2011-08-12,90.76,3.638,0,0,0,0,0,215.6057878,7.962,FALSE,1525147.09,"A",151315,0
1,2011-08-19,89.94,3.554,0,0,0,0,0,215.6693107,7.962,FALSE,1530761.43,"A",151315,0
1,2011-08-26,87.96,3.523,0,0,0,0,0,215.7332258,7.962,FALSE,1464693.46,"A",151315,0
